Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
Anne-Laure Babault;ɑ̃nəlorə babol
Marc Fesneau;mark fɛsno
Yannick Chenevard;iɑ̃nikk ʃənɛvar
Bruno Belin;brynɔ bɛlɛ̃
Pierre Cordier;piɛrrə kɔrdí
Patrick Chauvet;patrikk ʃovɛt
Marine Le Pen;marinə lə pɑ̃
Sacha Houlié;saʃa ulí
Sophie Errante;sɔfi ɛrrɑ̃t
Nathalie Oziol;natali ɔziɔl
Jean-Yves Leconte;ʒəɑ̃ivə lɛkɔ̃t
Élisabeth Doineau;elizabɛt dwano
Sébastien Delogu;sebastjɑ̃ dɛlɔɡy
Annick Billon;ɑ̃nikk bilɔ̃
Daphné Ract-Madoux;dafne rakmadu
Katiana Levavasseur;katjana lɛvavasœr
Catherine Vautrin;katɛrinə votrɛ̃
André Gattolin;ɑ̃dre ɡatɔlɛ̃
Véronique Besse;verɔnikə bɛs
Émilie Chandler;emili ʃɑ̃dle
Cédric Perrin;sedrik pɛrrɛ̃
Alexis Jolly;alɛxi ʒɔli
Nadia Hai;nadia ɛ
Robin Reda;rɔbɛ̃ rɛda
Sabrina Agresti-Roubache;sabrina aɡrɛstirubaʃ
Manuel Bompard;manɥɛl bɔ̃par
Marie-Pierre Monier;maripiɛrrə mɔní
Pierre Meurin;piɛrrə mœrɛ̃
Thani Mohamed Soilihi;tani mɔamɛ sɔjii
Marie-Christine Chauvin;mariʃristinə ʃovɛ̃
Delphine Batho;dɛlfinə batɔ
Thomas Cazenave;tɔma kazɛnav
Béatrice Gosselin;beatrizə ɡɔsɛlɛ̃
Emmanuel Fernandes;ɑ̃manɥəl fɛrnɑ̃d
Manon Meunier;manɔ̃ mœní
Clémentine Autain;klemɑ̃tin otɛ̃
Elsa Schalck;ɛlsa sʃalkk
Charles Rodwell;ʃarlə rɔdwɛl
Isabelle Rome;izabɛlə rɔm
Bernard Delcros;bɛrnar dɛlkrɔ
Lucien Stanzione;lyziɑ̃ stɑ̃ziɔn
Léo Walter;leɔ walte
Jean Louis Masson;ʒəɑ̃ lwi masɔ̃
Fabien Lainé;fabiɑ̃ lɛne
Jean-Marc Zulesi;ʒəɑ̃mark zylɛzi
Dominique Vérien;dɔminikə veriɑ̃
Emmanuel Mandon;ɑ̃manɥɛl mɑ̃dɔ̃
Fabien Genet;fabiɑ̃ ʒənɛt
Hendrik Davi;ɑ̃drik davi
Édouard Courtial;edwar kurtjal
Maud Bregeon;mo brɛʒɔ̃
Philippe Dominati;filipə dɔminatj
Aude Luquet;odə lykɛt
Pascale Bordes;paskalə bɔrd
Paul Christophe;pol ʃristɔf
Philippe Berta;filipə bɛrta
Jean-Pierre Decool;ʒəɑ̃piɛrrə dɛkɔɔl
Ségolène Amiot;seɡɔlɛn amiɔ
Frédéric Descrozaille;frederik dɛskrɔzɛj
Michel Masset;miʃəl masɛt
Sylviane Noël;silvianə nɔɛl
Hélène Laporte;elɛnə lapɔrt
Hervé Maurey;ɛrve morɛ
Jean-Claude Requier;ʒəɑ̃klodə rɛkí
Christine Herzog;ʃristin ɛrzɔ
Henri Cabanel;ɑ̃ri kabanɛl
Astrid Panosyan-Bouvet;astri panɔsiɑ̃buvɛt
Alain Cadec;alɛ̃ kadɛk
Blandine Brocard;blɑ̃dinə brɔkar
Julien Rancoule;ʒyliɑ̃ rɑ̃kul
Damien Michallet;damiɑ̃ miʃalɛt
Patricia Schillinger;patrizia sʃilɛ̃ʒe
Charles Guené;ʃarlə ɡyɛne
Cathy Apourceau-Poly;kati apurkopɔli
Caroline Yadan;karɔlin iadɑ̃
Patricia Demas;patrizia dɛma
Jean-Louis Lagourgue;ʒəɑ̃lwi laɡurɡɥɛ
Gilbert Roger;ʒilbɛr rɔʒe
Catherine Di Folco;katɛrinə di fɔlkɔ
Laurent Croizier;lorə krwazí
Philippe Bonnecarrère;filipə bɔ̃nɛkarrɛr
Aurélien Rousseau;oreliɑ̃ ruso
Valérie Rabault;valeri rabol
Brigitte Lherbier;briʒitə lɛrbí
Pierre-Jean Verzelen;piɛrrəʒəɑ̃ vɛrzɛlɑ̃
Mélanie Vogel;melani vɔʒɛl
Lionel Causse;liɔnɛl kos
Jean-Jacques Gaultier;ʒəɑ̃ʒakk ɡoltje
Laure Lavalette;lorə lavalɛt
Mathilde Paris;matildə pari
Caroline Abadie;karɔlin abadi
Louis Vogel;lwi vɔʒɛl
Patrick Hetzel;patrikk ɛtzɛl
Mikaele Kulimoetoke;mikaələ kylimɔɛtɔk
Marie-Charlotte Garin;mariʃarlɔtə ɡarɛ̃
Jean-Pierre Taite;ʒəɑ̃piɛrrə tɛt
Bruno Bilde;brynɔ bild
Cécile Untermaier;sesil œ̃tɛrmɛ́
Yaël Menache;yaə̈l mɛnaʃ
Anaïs Sabatini;anai sabatini
Christian Bilhac;ʃristjɑ̃ bilak
Cédric Chevalier;sedrik ʃɛvalí
Daniel Laurent;daniɛl lor
Julien Odoul;ʒyliɑ̃ ɔdul
Christophe Marion;ʃristɔfə mariɔ̃
Jean-Yves Roux;ʒəɑ̃iv ru
Jean-Marc Todeschini;ʒəɑ̃mark tɔdɛsʃini
Colombe Brossel;kɔlɔ̃bə brɔsɛl
Alexandre Loubet;alɛxɑ̃drə lubɛt
Bertrand Pancher;bɛrtrɑ̃d pɑ̃ʃe
André Reichardt;ɑ̃dre rɛʃard
Antoine Lefèvre;ɑ̃twanə lɛfɛvr
Éric Bocquet;erik bɔkkɛt
Nadia Sollogoub;nadia sɔlɔɡub
Mireille Jouve;mirɛj ʒuv
Xavier Roseren;ksaví rɔzɛrɑ̃
François Piquemal;frɑ̃swa pikɛmal
Philippe Pradal;filipə pradal
Hervé Reynaud;ɛrve rɛno
Laurence Maillart-Méhaignerie;lorɑ̃sə majarmeɛɲɛri
Lana Tetuanui;lana tɛtɥanɥi
Jean-Luc Fugit;ʒəɑ̃lyk fyʒit
Laurence Harribey;lorɑ̃sə arribɛ
Monique de Marco;mɔnikə də markɔ
Ghislaine Senée;ɡislɛnə sɛne
Christian Cambon;ʃristjɑ̃ kɑ̃bɔ̃
Gérard Larcher;ʒerar larʃe
Roger Vicot;rɔʒe vikɔ
Adrien Quatennens;adriɑ̃ katɑ̃nɑ̃
Laurent Leclercq;lorə lɛklɛrkk
Evelyne Corbière Naminzo;əvɛlinə kɔrbìrə namɛ̃zɔ
Denis Bouad;dəni bwa
Clément Pernot;klemɛn pɛrnɔ
Stéphane Viry;stefanə viri
Raphaël Gérard;rafaə̈l ʒerar
Anne Genetet;ɑ̃nə ʒənətɛt
Erwan Balanant;ɛrwɑ̃ balanɑ̃t
Claude Raynal;klodə rɛnal
Nicolas Dragon;nikɔla draɡɔ̃
Audrey Linkenheld;odrɛ lɛ̃kɛnɛld
Yves Bouloux;yvə bulu
Juliette Vilgrain;ʒyliɛtə vilɡrɛ̃
Brigitte Klinkert;briʒitə klɛ̃kɛr
Carlos Martens Bilongo;karlɔ martɑ̃ bilɔ̃ɡɔ
Christophe Barthès;ʃristɔfə bartɛ
Martin Lévrier;martɛ̃ levrí
Sebastien Pla;səbastjɑ̃ pla
Chantal Jourdan;ʃɑ̃tal ʒurdɑ̃
Daniel Breuiller;daniɛl brœjr
Jean-Claude Raux;ʒəɑ̃klodə ro
Michelle Gréaume;miʃɛlə ɡreom
Patrick Chaize;patrikk ʃɛz
Rodrigo Arenas;rɔdriɡɔ arɛna
Benoît Bordat;bənwât bɔrda
Guillaume Kasbarian;ɡyjomə kasbariɑ̃
Hubert Wulfranc;ybɛr wylfrɑ̃
Marie-Agnès Poussier-Winsback;mariaɲɛ pusíwɛ̃sbakk
Marietta Karamanli;mariɛta karamɑ̃li
Laurence Cohen;lorɑ̃sə kɔɑ̃
Jean-Luc Bourgeaux;ʒəɑ̃lyk burʒo
Fadila Khattabi;fadila katabi
Stéphane Le Rudulier;stefanə lə rydylí
Franck Allisio;frɑ̃kk aliziɔ
Charlotte Parmentier-Lecocq;ʃarlɔtə parmɑ̃tjelɛkɔkk
Pierre Jean Rochette;piɛrrə ʒəɑ̃ rɔʃɛt
Lisa Belluco;liza bɛlykɔ
Chantal Deseyne;ʃɑ̃tal dɛzɛn
Frédéric Mathieu;frederik matjœ
Mickaël Cosson;mikkaə̈l kɔsɔ̃
Christelle Petex;ʃristələ pɛtɛ
Pascal Lecamp;paskal lɛkɑ̃p
Jean-Gérard Paumier;ʒəɑ̃ʒerar pomí
Bernard Buis;bɛrnar bɥi
Stéphane Fouassin;stefanə fwasɛ̃
Jocelyn Dessigny;ʒɔzɛlɛ̃ dɛsiɲi
Amélia Lakrafi;amelia lakrafi
Loïc Prud'homme;loik pry'ɔm
Olivier Cadic;ɔliví kadik
Soumya Bourouaha;sumia burwaa
Jiovanny William;ʒiɔvɑ̃ni wiliɑ̃
Franck Dhersin;frɑ̃kk dɛrsɛ̃
Agnès Carel;aɲɛ karɛl
Éric Ciotti;erik siɔti
Benjamin Lucas-Lundy;bɑ̃ʒamɛ̃ lykalœ̃di
Toine Bourrat;twanə burra
Jordan Guitton;ʒɔrdɑ̃ ɡyitɔ̃
Jocelyne Antoine;ʒɔzɛlin ɑ̃twan
Philippe Frei;filipə frɛ
Yoann Gillet;iɔɑ̃n ʒilɛt
Agnès Firmin Le Bodo;aɲɛ firmɛ̃ lə bɔdɔ
Élisabeth Borne;elizabɛt bɔrn
Damien Adam;damiɑ̃ adɑ̃
Valérie Boyer;valeri bwá
Éric Husson;erik ysɔ̃
Jean-Claude Tissot;ʒəɑ̃klodə tisɔ
Nicole Bonnefoy;nikɔlə bɔ̃nɛfwa
Éric Jeansannetas;erik ʒəɑ̃sɑ̃nɛta
Frédéric Petit;frederik pɛtit
Dominique de Legge;dɔminikə də lɛɡʒ
Caroline Fiat;karɔlinə fia
Ronan Le Gleut;rɔnɑ̃ lə ɡlœ
Marie Pochon;mari pɔʃɔ̃
Jean-Luc Brault;ʒəɑ̃lyk brol
Jacqueline Eustache-Brinio;ʒakkɛlin œstaʃəbriniɔ
Raymonde Poncet Monge;rɛmɔ̃də pɔ̃sɛt mɔ̃ʒ
Anne-Cécile Violland;ɑ̃nəkezilə viɔlɑ̃d
Robert Wienie Xowie;rɔbɛr wiɛni xɔwi
Isabelle Raimond-Pavero;izabələ rɛmɔ̃dpavɛrɔ
Thomas Ménagé;tɔma menaʒe
Yves Bleunven;yvə blœ̃vɑ̃
Christine Loir;ʃristinə lwar
Maryse Carrère;marisə karrɛr
Patrice Perrot;patrizə pɛrrɔ
Valérie Bazin-Malgras;valeri bazɛ̃malɡra
Michèle Peyron;miʃɛlə pɛrɔ̃
Philippe Gosselin;filipə ɡɔsɛlɛ̃
Annick Petrus;ɑ̃nikk pɛtry
Davy Rimane;davi riman
Guillaume Garot;ɡyjomə ɡarɔ
Raquel Garrido;rakɛl ɡarridɔ
Bryan Masson;briɑ̃ masɔ̃
Jean-François Longeot;ʒəɑ̃frɑ̃swa lɔ̃ʒɔ
Hervé Saulignac;ɛrve soliɲak
Sophie Taillé-Polian;sɔfi taj́pɔliɑ̃
Victorin Lurel;viktɔrɛ̃ lyrɛl
Philippe Juvin;filipə ʒyvɛ̃
Catherine Colonna;katɛrinə kɔlɔ̃na
Denis Bernaert;dəni bɛrnaɛr
Alma Dufour;alma dyfur
Annick Jacquemet;ɑ̃nikk ʒakkəmɛt
Paul Vannier;pol vɑ̃ní
Hervé Gillé;ɛrve ʒile
Michel Canévet;miʃəl kanevɛt
Alain Houpert;alɛ̃ upɛr
Christophe Béchu;ʃristɔfə beʃy
Stéphane Vojetta;stefanə vɔʒɛta
Bénédicte Taurine;benedit torin
Emmanuel Capus;ɑ̃manɥɛl kapy
Serge Muller;sɛrʒə myle
Jean-Hugues Ratenon;ʒəɑ̃yɡɥɛ ratɛnɔ̃
Bruno Rojouan;brynɔ rɔʒwɑ̃
Amélie Oudéa-Castéra;ameli udeakastera
Emmanuel Lacresse;ɑ̃manɥɛl lakrɛs
Charlotte Goetschy-Bolognese;ʃarlɔtə ɡɔɛtsʃibɔlɔɲɛz
Catherine Couturier;katɛrinə kutyrí
Sabine Van Heghe;sabinə vɑ̃ ɛɡ
Marc Ferracci;mark fɛrraksi
Jean-Carles Grelier;ʒəɑ̃karlə ɡrɛlí
Josy Poueyto;ʒɔsi pwɛtɔ
Ludovic Mendes;lydɔvik mɑ̃d
Marie-Claude Varaillas;mariklodə varaja
Marie-Christine Dalloz;mariʃristinə dalɔz
Emeric Salmon;əmɛrik salmɔ̃
Jean-François Lovisolo;ʒəɑ̃frɑ̃swa lɔvizɔlɔ
Laurent Esquenet-Goxes;lor ɛskənətɡɔx
Florian Chauche;flɔriɑ̃ ʃoʃ
Annick Girardin;ɑ̃nikk ʒirardɛ̃
Samantha Cazebonne;samɑ̃ta kazɛbɔ̃n
Perrine Goulet;pɛrrinə ɡulɛt
Jean-Philippe Tanguy;ʒəɑ̃filipə tɑ̃ɡyi
Maud Petit;mo pɛtit
Max Mathiasin;ma matiazɛ̃
Emmanuelle Anthoine;ɑ̃manɥɛl ɑ̃twan
Antoine Armand;ɑ̃twan armɑ̃d
Catherine Dumas;katɛrinə dyma
Éliane Assassi;elian asasi
Mickaël Bouloux;mikkaə̈l bulu
Michel Lauzzana;miʃɛl lozzana
Vincent Louault;vɛ̃kɛn lwol
Vincent Thiébaut;vɛ̃kɛn tíbo
Delphine Lingemann;dɛlfinə lɛ̃ʒɛmɑ̃n
Nicolas Meizonnet;nikɔla mɛzɔ̃nɛt
Isabelle Périgault;izabɛlə periɡol
Laurent Burgoa;lorə byrɡɔa
Michel Laugier;miʃɛl loʒí
Jorys Bovet;ʒɔri bɔvɛt
Mathilde Hignet;matildə iɲɛt
Maud Gatel;mo ɡatɛl
Mathieu Lefèvre;matjœ lɛfɛvr
Philippe Schreck;filipə sʃrɛkk
Anne-Marie Nédélec;ɑ̃nəmari nedelɛk
Jérôme Durain;ʒeromə dyrɛ̃
Lionel Vuibert;liɔnɛl vɥibɛr
Loïc Hervé;loik ɛrve
Pierre Louault;piɛrrə lwol
Thomas Dossus;tɔma dɔsy
Véronique Louwagie;verɔnikə luwaʒi
Paul Molac;pol mɔlak
Béatrice Roullaud;beatrizə rulo
Gérard Longuet;ʒerar lɔ̃ɡyɛt
Sylvie Vermeillet;silvi vɛrmɛj
Olivier Serva;ɔliví sɛrva
Françoise Férat;frɑ̃swazə fera
Sophia Chikirou;sɔfia ʃikiru
Rémy Rebeyrotte;remi rɛbɛrɔt
Georges Patient;ʒɔrʒ patjɛ̃
Philippe Mouiller;filipə mujr
Jocelyne Guidez;ʒɔzɛlinə ɡyide
Ludovic Haye;lydɔvik ɛ
Stéphane Delautrette;stefanə dɛlotrɛt
Christophe Naegelen;ʃristɔfə naəʒɛlɑ̃
Michel Guiniot;miʃɛl ɡyiniɔ
Olivier Faure;ɔliví for
Alain David;alɛ̃ davi
Perceval Gaillard;pɛrkɛval ɡajar
Dominique Faure;dɔminikə for
Jean-Christophe Combe;ʒəɑ̃ʃristɔfə kɔ̃b
Huguette Tiegna;yɡyɛtə tjɛɲa
Ahmed Laouedj;amɛ lawɛdʒ
Jean-Charles Larsonneur;ʒəɑ̃ʃarl larsɔ̃nœr
Corinne Vignon;kɔrɛ̃nə viɲɔ̃
Olivier Véran;ɔliví verɑ̃
Claire Guichard;klɛrə ɡyiʃar
Benjamin Saint-Huile;bɑ̃ʒamɛ̃ sɛ̃yj
Fanta Berete;fɑ̃ta bərɛt
Marta de Cidrac;marta də sidrak
Sylvie Retailleau;silvi rɛtajo
Éric Coquerel;erik kɔkərɛl
Arnaud de Belenet;arno də bələnɛt
Joëlle Garriaud-Maylam;ʒɔɛlə ɡarriomɛlɑ̃
Serge Babary;sɛrʒə babari
Didier Martin;didí martɛ̃
Aurélie Trouvé;oreli truve
Sarah Legrain;sara lɛɡrɛ̃
Graziella Melchior;ɡraziɛla mɛlʃiɔr
Patrice Joly;patrizə ʒɔli
Isabelle Santiago;izabɛlə sɑ̃tjaɡɔ
Gilbert Favreau;ʒilbɛr favro
Sandrine Rousseau;sɑ̃drinə ruso
Sarah El Haïry;sara ɛl airi
Sébastien Fagnen;sebastjɑ̃ faɲɑ̃
Sonia Backès;sɔnia bakkɛ
Jean-François Portarrieu;ʒəɑ̃frɑ̃swa pɔrtarrjœ
Benjamin Dirx;bɑ̃ʒamɛ̃ dirx
Jean-Michel Arnaud;ʒəɑ̃miʃɛl arno
Ingrid Dordain;ɛ̃ɡri dɔrdɛ̃
Félicie Gérard;felizi ʒerar
Florent Boudié;flɔrə budí
Jean-Noël Cardoux;ʒəɑ̃nɔɛl kardu
François Bonhomme;frɑ̃swa bɔnɔm
Marc Le Fur;mark lə fyr
Philippe Ballard;filipə balar
Louis Margueritte;lwi marɡyɛrit
Joël Labbé;ʒɔɛl labe
Christine Engrand;ʃristin ɑ̃ɡrɑ̃d
Alexandre Holroyd;alɛxɑ̃dr ɔlrwa
Alain Duffourg;alɛ̃ dyfurɡ
Laurent Marcangeli;lorə markɑ̃ʒɛli
Natalia Pouzyreff;natalia puzirɛf
Virginie Lanlo;virʒini lɑ̃lɔ
Laurence Rossignol;lorɑ̃sə rɔsiɲɔl
Daniel Chasseing;daniɛl ʃasɛ̃ɡ
Jacques Grosperrin;ʒakk ɡrɔspɛrrɛ̃
Guillaume Gouffier Valente;ɡyjomə ɡufí valɑ̃t
Sophie Mette;sɔfi mɛt
Philippe Nachbar;filipə naʃbar
Sandrine Josso;sɑ̃drinə ʒɔsɔ
Sébastien Chenu;sebastjɑ̃ ʃɛny
Marjolaine Meynier-Millefert;marʒɔlɛnə mɛnímilɛfɛr
Éric Woerth;erik wɔɛrt
Jérôme Legavre;ʒeromə lɛɡavr
Elie Califer;əli kalife
Sylvie Ferrer;silvi fɛrre
Alain Marc;alɛ̃ mark
Pierrick Berteloot;piɛrrikk bɛrtɛlɔɔ
Jean-Pierre Vigier;ʒəɑ̃piɛrrə viʒí
Jérôme Guedj;ʒeromə ɡyɛdʒ
François Bonneau;frɑ̃swa bɔ̃no
Stéphane Artano;stefan artanɔ
Hervé de Lépinau;ɛrve də lepino
Bénédicte Auzanot;benedit ozanɔ
Pierre-Alain Roiron;piɛrrəalɛ̃ rwarɔ̃
Patrick Vignal;patrikk viɲal
Pascal Martin;paskal martɛ̃
Colette Mélot;kɔlɛtə melɔ
Marie Lebec;mari ləbɛk
Vincent Éblé;vɛ̃kɛn eble
Élise Leboucher;elizə lɛbuʃe
Michel Castellani;miʃəl kastɛlani
Jacques-Bernard Magner;ʒakkbɛrnar maɲe
Jean-Baptiste Lemoyne;ʒəɑ̃baptistə lɛmwan
Alexandre Ouizille;alɛxɑ̃drə wizij
Marie-Pierre Richer;maripiɛrrə riʃe
Hubert Ott;ybɛr ɔ
Karl Olive;karl ɔliv
Philippe Emmanuel;filip ɑ̃manɥɛl
Anne Le Hénanff;ɑ̃nə l enɑ̃f
Sylvie Bonnet;silvi bɔ̃nɛt
Béatrice Piron;beatrizə pirɔ̃
Benjamin Haddad;bɑ̃ʒamɛ̃ ada
Anne-Catherine Loisier;ɑ̃nəkatɛrinə lwazí
Brigitte Devésa;briʒitə dɛveza
Claudia Rouaux;klodia rwo
Éric Poulliat;erik pulia
Laurence Muller-Bronn;lorɑ̃sə mylebrɔ̃n
Jérôme Nury;ʒeromə nyri
Nicolas Pacquot;nikɔla pakkɔ
Didier Marie;didí mari
Cécile Rilhac;sesilə rilak
Céline Brulin;selinə brylɛ̃
Denis Masséglia;dəni maseɡlia
Christine Lavarde;ʃristinə lavard
Marie-Pierre Rixain;maripiɛrrə rixɛ̃
Philippe Lottiaux;filipə lɔtio
Frédéric Buval;frederik byval
Yannick Haury;iɑ̃nikk ori
Jérémie Patrier-Leitus;ʒeremi patrílɛty
Jean-Pierre Bansard;ʒəɑ̃piɛrrə bɑ̃sar
Florence Lassarade;flɔrɑ̃sə lasarad
Emmanuel Blairy;ɑ̃manɥɛl blɛri
Christian Redon-Sarrazy;ʃristjɑ̃ rɛdɔ̃sarrazi
Corinne Narassiguin;kɔrɛ̃nə narasiɡɥɛ̃
Amel Gacquerre;amɛl ɡakkɛrr
Dany Wattebled;dani watɛblɛ
Audrey Bélim;odrɛ belɛ̃
Julie Lechanteux;ʒyli lɛʃɑ̃tœ
Dominique Théophile;dɔminikə teɔfil
Ersilia Soudais;ɛrsilia sudɛ
Stéphane Travert;stefanə travɛr
Paul Toussaint Parigi;pol tusɛ̃ pariʒi
Virginie Duby-Muller;virʒini dybimyle
Jacqueline Maquet;ʒakkəlinə makɛt
Sandrine Dogor-Such;sɑ̃drinə dɔɡɔrsyʃ
Fabrice Le Vigoureux;fabrizə lə viɡurœ
Caroline Parmentier;karɔlinə parmɑ̃tje
Jean-Pierre Pont;ʒəɑ̃piɛrrə pɔ̃t
Jean Sol;ʒəɑ̃ sɔl
Didier Padey;didí padɛ
Christine Pires Beaune;ʃristinə pir bon
Guylène Pantel;ɡɥilɛnə pɑ̃tɛl
Jean-Luc Fichet;ʒəɑ̃lyk fiʃɛt
Philippe Naillet;filipə naj
Simon Uzenat;simɔ̃ yzɛna
Christian Klinger;ʃristjɑ̃ klɛ̃ʒe
Géraldine Grangier;ʒeraldinə ɡrɑ̃ʒí
Abdallah Hassani;abdala asani
Marion Canalès;mariɔ̃ kanalɛ
Jean-Baptiste Blanc;ʒəɑ̃baptistə blɑ̃
Idir Boumertit;idir bumɛrtit
René Pilato;rəne pilatɔ
Laurence Garnier;lorɑ̃sə ɡarní
Jean-Marc Tellier;ʒəɑ̃mark tɛlí
Claude Nougein;klodə nuʒɛ̃
Vincent Capo-Canellas;vɛ̃kɛn kapɔkanɛla
Hugues Saury;yɡy sori
Jean-Luc Ruelle;ʒəɑ̃lyk rɥɛl
Catherine Jaouen;katɛrinə ʒawɑ̃
Carole Grandjean;karɔlə ɡrɑ̃dʒəɑ̃
William Martinet;wiliɑ̃ martinɛt
Monique Lubin;mɔnikə lybɛ̃
Jean-Marc Boyer;ʒəɑ̃mark bwá
Stéphane Ravier;stefanə raví
Patricia Lemoine;patrizia lɛmwan
Guillaume Vuilletet;ɡyjomə vyjtɛt
Henri Alfandari;ɑ̃ri alfɑ̃dari
Serge Mérillou;sɛrʒə merilu
Christopher Szczurek;ʃristɔfe szkzyrɛk
Thibaut François;tibo frɑ̃swa
Rachida Dati;raʃida datj
David Habib;davi abib
Gilbert-Luc Devinaz;ʒilbɛrlyk dɛvinaz
Alexandra Borchio Fontimp;alɛxɑ̃dra bɔrʃiɔ fɔ̃tɛ̃p
Frédéric Maillot;frederik majɔ
Aymeric Durox;ɛmɛrik dyrɔ
Caroline Janvier;karɔlinə ʒɑ̃ví
Louis-Jean de Nicolaÿ;lwiʒəɑ̃ də nikɔlai
René-Paul Savary;rənepol savari
Catherine Morin-Desailly;katərinə mɔrɛ̃dɛzaji
Nicole Belloubet;nikɔlə bəlubɛt
Louise Morel;lwizə mɔrɛl
Teva Rohfritsch;təva rɔfritsʃ
Bruno Millienne;brynɔ miliɑ̃n
David Ros;davi rɔ
Vincent Descoeur;vɛ̃kɛn dɛzœr
Sandra Regol;sɑ̃dra rɛɡɔl
Micheline Jacques;miʃəlinə ʒakk
Arthur Delaporte;artyr dɛlapɔrt
Charles de Courson;ʃarl də kursɔ̃
Mereana Reid Arbelot;mərəana rɛ arbɛlɔ
Patrice Vergriete;patrizə vɛrɡriɛt
Claude Malhuret;klodə malyrɛt
Éric Girardin;erik ʒirardɛ̃
Danièle Obono;danìl ɔbɔnɔ
Stéphane Séjourné;stefanə seʒurne
Brigitte Bourguignon;briʒitə burɡyiɲɔ̃
Alexandre Vincendet;alɛxɑ̃drə vɛ̃kɑ̃dɛt
Emmanuel Taché de la Pagerie;ɑ̃manɥəl taʃe də la paʒɛri
Pascal Savoldelli;paskal savɔldɛli
Michaël Taverne;miʃaə̈l tavɛrn
Jean-Pierre Cubertafon;ʒəɑ̃piɛrrə kybɛrtafɔ̃
François Cormier-Bouligeon;frɑ̃swa kɔrmíbuliʒɔ̃
Corinne Imbert;kɔrɛ̃n ɛ̃bɛr
Lysiane Métayer;lisianə metɛ́
Vincent Seitlinger;vɛ̃kɛn sɛtlɛ̃ʒe
Jean-Louis Bourlanges;ʒəɑ̃lwi burlɑ̃ʒ
André Villiers;ɑ̃dre viliɛr
Gisèle Lelouis;ʒizɛlə lɛlwi
