Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
Catherine Deroche;katərinə dɛrɔʃ
Deroche;dərɔʃ
Olivia Grégoire;ɔlivia ɡreɡwar
Grégoire;ɡreɡwar
Hervé Berville;ɛrve bɛrvij
Berville;bɛrvij
Rémi Cardon;remi kardɔ̃
Cardon;kardɔ̃
Pierre Médevielle;piɛrrə medəviɛl
Médevielle;medəviɛl
Catherine Conconne;katɛrinə kɔ̃kɔ̃n
Conconne;kɔ̃kɔ̃n
Yaël Braun-Pivet;yaə̈l braœ̃pivɛt
Braun-Pivet;braœ̃pivɛt
Pauline Martin;polinə martɛ̃
Frédéric Boccaletti;frederik bɔksalɛti
Boccaletti;bɔksalɛti
Catherine Procaccia;katɛrinə prɔkaksia
Procaccia;prɔkaksia
Bernard Fournier;bɛrnar furní
Fournier;furní
Nicolas Ray;nikɔla rɛ
Ray;rɛ
David Guiraud;davi ɡyiro
Guiraud;ɡyiro
Nadine Bellurot;nadinə bɛlyrɔ
Bellurot;bəlyrɔ
Stanislas Guerini;stanisla ɡyɛrini
Guerini;ɡɥɛrini
Pierre Charon;piɛrrə ʃarɔ̃
Charon;ʃarɔ̃
Nicole Duranton;nikɔlə dyrɑ̃tɔ̃
Duranton;dyrɑ̃tɔ̃
Laurent Duplomb;lorə dyplɔ̃b
Duplomb;dyplɔ̃b
Annaïg Le Meur;ɑ̃nai lə mœr
Le Meur;lə mœr
Évelyne Perrot;evɛlinə pɛrrɔ
Perrot;pɛrrɔ
Philippe Sorez;filipə sɔre
Sorez;sɔre
Catherine Belrhiti;katɛrinə bɛlritj
Belrhiti;bɛlritj
David Taupiac;davi topiak
Taupiac;topiak
Sylvain Maillard;silvɛ̃ majar
Maillard;majar
Joshua Hochart;ʒɔsɥa ɔʃar
Hochart;ɔʃar
Jean-Noël Barrot;ʒəɑ̃nɔɛl barrɔ
Barrot;barrɔ
Philippe Tabarot;filipə tabarɔ
Tabarot;tabarɔ
Jean-Luc Warsmann;ʒəɑ̃lyk warsmɑ̃n
Warsmann;warsmɑ̃n
Victor Catteau;viktɔr kato
Catteau;kato
Sonia de la Provôté;sɔnia də la prɔvote
de la Provôté;də la prɔvote
Charlotte Caubel;ʃarlɔtə kobɛl
Caubel;kobɛl
Frédéric Marchand;frederik marʃɑ̃d
Marchand;marʃɑ̃d
Servane Hugues;sɛrvan yɡy
Hugues;yɡy
Stéphane Sautarel;stefanə sotarɛl
Sautarel;sotarɛl
Olivier Marleix;ɔliví marlɛ
Marleix;marlɛ
Belkhir Belhaddad;bɛlkir bɛlada
Belhaddad;bəlada
Alain Richard;alɛ̃ riʃar
Richard;riʃar
Nassimah Dindar;nasima dɛ̃dar
Dindar;dɛ̃dar
Inaki Echaniz;inaki ɛʃaniz
Echaniz;əʃaniz
Antoine Léaument;ɑ̃twanə leomɛn
Léaument;leomɛn
Patrick Kanner;patrikk kɑ̃ne
Kanner;kɑ̃ne
Laurence Robert-Dehault;lorɑ̃sə rɔbɛrdəol
Robert-Dehault;rɔbɛrdəol
Nathalie Serre;natali sɛrr
Serre;sɛrr
Sophie Primas;sɔfi prima
Primas;prima
Nadège Havet;nadɛʒ avɛt
Havet;avɛt
Rachel Keke;raʃəl kɛk
Keke;kək
Clara Chassaniol;klara ʃasaniɔl
Chassaniol;ʃasaniɔl
Marie-France Lorho;marifrɑ̃sə lɔrɔ
Lorho;lɔrɔ
Agnès Canayer;aɲɛ kanɛ́
Canayer;kanɛ́
Pascal Lavergne;paskal lavɛrɲ
Lavergne;lavɛrɲ
Christine Arrighi;ʃristin arriɡi
Arrighi;arriɡi
Estelle Youssouffa;ɛstɛl iusufa
Youssouffa;iusufa
Antoine Villedieu;ɑ̃twanə vilɛdjœ
Villedieu;vilɛdjœ
Charles Sitzenstuhl;ʃarl sitzɑ̃styl
Sitzenstuhl;sitzɑ̃styl
Étienne Blanc;etjɑ̃nə blɑ̃
Marc-Philippe Daubresse;markfilipə dobrɛs
Daubresse;dobrɛs
Florence Lasserre;flɔrɑ̃sə lasɛrr
Lasserre;lasɛrr
Jimmy Pahun;ʒɛ̃mi paœ̃
Pahun;paœ̃
Bernard Bonne;bɛrnar bɔ̃n
Bonne;bɔ̃n
Franck Riester;frɑ̃kk riɛste
Riester;riɛste
Thierry Frappé;tiɛrri frape
Frappé;frape
Sylvie Robert;silvi rɔbɛr
Robert;rɔbɛr
Sophie Panonacle;sɔfi panɔnakl
Panonacle;panɔnakl
Daniel Labaronne;daniɛl labarɔ̃n
Labaronne;labarɔ̃n
Corinne Bourcier;kɔrɛ̃nə burkí
Bourcier;burkí
Gérard Poadja;ʒerar pɔadʒa
Poadja;pɔadʒa
Bérangère Couillard;berɑ̃ʒɛrə kujar
Couillard;kujar
Thibault Bazin;tibol bazɛ̃
Bazin;bazɛ̃
Christine Decodts;ʃristinə dɛkɔd
Decodts;dəkɔd
Marie-Pierre de la Gontrie;maripiɛrrə də la ɡɔ̃tri
de la Gontrie;də la ɡɔ̃tri
Arnaud Bazin;arno bazɛ̃
Stéphane Lenormand;stefanə lɛnɔrmɑ̃d
Lenormand;lənɔrmɑ̃d
Philippe Pemezec;filipə pəməzɛk
Pemezec;pəməzɛk
Gabriel Amard;ɡabriɛl amar
Amard;amar
Jean-Pierre Corbisez;ʒəɑ̃piɛrrə kɔrbize
Corbisez;kɔrbize
Anne-Sophie Frigout;ɑ̃nəsɔfi friɡu
Frigout;friɡu
Roland Lescure;rɔlɑ̃d lɛskyr
Lescure;lɛskyr
Lise Magnier;lizə maɲí
Magnier;maɲí
Didier Parakian;didí parakiɑ̃
Parakian;parakiɑ̃
Naïma Moutchou;naima mutʃu
Moutchou;mutʃu
Charlotte Leduc;ʃarlɔtə lɛdyk
Leduc;lədyk
Maurice Antiste;moriz ɑ̃tist
Antiste;ɑ̃tist
Vincent Bru;vɛ̃kɛn bry
Bru;bry
Sylvie Goy-Chavent;silvi ɡwaʃavɛn
Goy-Chavent;ɡwaʃavɛn
Vincent Rolland;vɛ̃kɛn rɔlɑ̃d
Rolland;rɔlɑ̃d
Viviane Artigalas;vivian artjɡala
Artigalas;artjɡala
Hussein Bourgi;ysɛ̃ burʒi
Bourgi;burʒi
Pierre Barros;piɛrrə barrɔ
Barros;barrɔ
Jérôme Darras;ʒeromə darra
Darras;darra
Emmanuelle Ménard;ɑ̃manɥɛlə menar
Ménard;menar
Pierre-Antoine Levi;piɛrrəɑ̃twanə lɛvi
Levi;ləvi
Karim Ben Cheikh;karɛ̃ bɑ̃ ʃɛk
Ben Cheikh;bɑ̃ ʃɛk
Silvana Silvani;silvana silvani
Silvani;silvani
Moetai Brotherson;moetɛ brɔtɛrsɔ̃
Brotherson;brɔtɛrsɔ̃
Guillaume Chevrollier;ɡyjomə ʃɛvrɔlí
Chevrollier;ʃɛvrɔlí
Didier Lemaire;didí lɛmɛr
Lemaire;ləmɛr
Philippe Bolo;filipə bɔlɔ
Bolo;bɔlɔ
Édouard Bénard;edwar benar
Bénard;benar
Sébastien Rome;sebastjɑ̃ rɔm
Rome;rɔm
Nathalie Delattre;natali dɛlatr
Delattre;dəlatr
David Amiel;davi amiɛl
Amiel;amiɛl
Philippe Folliot;filipə fɔliɔ
Folliot;fɔliɔ
Laure Miller;lorə mile
Miller;mile
Stéphane Peu;stefanə pœ
Peu;pœ
Dominique Da Silva;dɔminikə da silva
Da Silva;da silva
Joris Hébrard;ʒɔri ebrar
Hébrard;ebrar
Philippe Guillemard;filipə ɡyjmar
Guillemard;ɡyjmar
Alain Milon;alɛ̃ milɔ̃
Milon;milɔ̃
Olivier Henno;ɔliví ɑ̃nɔ
Henno;ɑ̃nɔ
Bruno Sido;brynɔ sidɔ
Sido;sidɔ
Didier Mandelli;didí mɑ̃dɛli
Mandelli;mɑ̃dɛli
Stéphanie Galzy;stefani ɡalzi
Galzy;ɡalzi
Éric Martineau;erik martino
Martineau;martino
Mikaele Seo;mikaɛlə səɔ
Seo;səɔ
Christophe Chaillou;ʃristɔfə ʃaju
Chaillou;ʃaju
Stéphanie Rist;stefani ris
Rist;ris
Guy Benarroche;ɡyi bɛnarrɔʃ
Benarroche;bənarrɔʃ
Jean-Marc Vayssouze-Faure;ʒəɑ̃mark vɛsuzəfor
Vayssouze-Faure;vɛsuzəfor
Gérard Lahellec;ʒerar laəlɛk
Lahellec;laəlɛk
Jean-René Cazeneuve;ʒəɑ̃rəne kazɛnœv
Corinne Féret;kɔrɛ̃nə ferɛt
Féret;ferɛt
Charles Fournier;ʃarl furní
Marina Ferrari;marina fɛrrari
Ferrari;fɛrrari
Jérôme Bascher;ʒeromə basʃe
Bascher;basʃe
Stéphane Rambaud;stefanə rɑ̃bo
Michel Dennemont;miʃəl dɑ̃nɛmɔ̃t
Dennemont;dɑ̃nɛmɔ̃t
Dino Cinieri;dinɔ siniɛri
Cinieri;siniɛri
Lionel Tivoli;liɔnɛl tivɔli
Tivoli;tivɔli
Nicole Dubré-Chirat;nikɔlə dybreʃira
Dubré-Chirat;dybreʃira
Gérald Darmanin;ʒerald darmanɛ̃
Darmanin;darmanɛ̃
Florence Goulet;flɔrɑ̃sə ɡulɛt
Marie-Laure Phinera-Horth;marilorə finraɔrt
Phinera-Horth;finraɔrt
Françoise Gatel;frɑ̃swazə ɡatɛl
Gatel;ɡatɛl
Karine Daniel;karinə daniɛl
Daniel;daniɛl
Grégory Blanc;ɡreɡɔri blɑ̃
Laure Darcos;lorə darkɔ
Darcos;darkɔ
Michèle Martinez;miʃɛlə martine
Martinez;martine
Hubert Julien-Laferrière;ybɛr ʒyliɑ̃lafɛrrìr
Julien-Laferrière;ʒyliɑ̃lafɛrrìr
Kristina Pluchet;kristina plyʃɛt
Pluchet;plyʃɛt
Adel Ziane;adɛl zian
Ziane;zian
Frank Giletti;frɑ̃k ʒilɛti
Giletti;ʒilɛti
Denise Saint-Pé;dənizə sɛ̃pe
Saint-Pé;sɛ̃pe
Ian Brossat;iɑ̃ brɔsa
Brossat;brɔsa
Jean-François Coulomme;ʒəɑ̃frɑ̃swa kulɔm
Coulomme;kulɔm
Michel Dagbert;miʃɛl daɡbɛr
Dagbert;daɡbɛr
Stéphanie Kochert;stefani kɔʃɛr
Kochert;kɔʃɛr
Philippe Vigier;filipə viʒí
Vigier;viʒí
Gabriel Attal;ɡabriɛl atal
Attal;atal
Marlène Schiappa;marlɛnə sʃiapa
Schiappa;sʃiapa
Pierre Vatin;piɛrrə vatɛ̃
Vatin;vatɛ̃
Danielle Simonnet;danilə simɔ̃nɛt
Simonnet;simɔ̃nɛt
Marie-Do Aeschlimann;maridɔ aɛsʃlimɑ̃n
Aeschlimann;aɛsʃlimɑ̃n
Matthieu Marchio;matjœ marʃiɔ
Marchio;marʃiɔ
Jean Pierre Vogel;ʒəɑ̃ piɛrrə vɔʒɛl
Vogel;vɔʒɛl
Frédérique Puissat;frederikə pɥisa
Puissat;pɥisa
Sandra Marsaud;sɑ̃dra marso
Marsaud;marso
Jean-François Husson;ʒəɑ̃frɑ̃swa ysɔ̃
Husson;ysɔ̃
Jean-Jacques Lozach;ʒəɑ̃ʒakk lɔzaʃ
Lozach;lɔzaʃ
Anne Grignon;ɑ̃nə ɡriɲɔ̃
Grignon;ɡriɲɔ̃
Thierry Benoit;tiɛrri bɛnwat
Benoit;bənwat
Bernard Pillefer;bɛrnar pilɛfe
Pillefer;pilɛfe
Jean-Marie Vanlerenberghe;ʒəɑ̃mari vɑ̃lɛrɑ̃bɛrɡ
Vanlerenberghe;vɑ̃lɛrɑ̃bɛrɡ
Philippe Fait;filipə fɛ
Fait;fɛ
Stéphane Buchou;stefanə byʃu
Buchou;byʃu
Christophe Bentz;ʃristɔfə bɛntz
Bentz;bɛntz
Bastien Marchive;bastjɑ̃ marʃiv
Marchive;marʃiv
Olivia Richard;ɔlivia riʃar
Michaël Weber;miʃaə̈l wɛbe
Weber;wəbe
Michèle Tabarot;miʃɛlə tabarɔ
Sarah Tanzilli;sara tɑ̃zili
Tanzilli;tɑ̃zili
Marie-Carole Ciuntu;marikarɔlə siœ̃ty
Ciuntu;siœ̃ty
Mansour Kamardine;mɑ̃sur kamardin
Kamardine;kamardin
André Guiol;ɑ̃dre ɡyiɔl
Guiol;ɡyiɔl
Jean-Paul Lecoq;ʒəɑ̃pol lɛkɔk
Lecoq;ləkɔk
Elsa Faucillon;ɛlsa fozilɔ̃
Faucillon;fozilɔ̃
Stéphane Piednoir;stefanə piɛdnwar
Piednoir;piɛdnwar
Marcellin Nadeau;markɛlɛ̃ nado
Nadeau;nado
Nicolas Forissier;nikɔla fɔrisí
Forissier;fɔrisí
François Braun;frɑ̃swa braœ̃
Braun;braœ̃
Philippe Brun;filipə brœ̃
Agnès Pannier-Runacher;aɲɛ pɑ̃nírynaʃe
Pannier-Runacher;pɑ̃nírynaʃe
Yannick Jadot;iɑ̃nikk ʒadɔ
Jadot;ʒadɔ
Mohamed Laqhila;mɔamɛ lakila
Laqhila;lakila
François Patriat;frɑ̃swa patria
Patriat;patria
Anna Pic;ɑ̃na pik
Pic;pik
Stéphane Demilly;stefanə dɛmili
Demilly;dəmili
Béatrice Descamps;beatrizə dɛskɑ̃p
Descamps;dɛskɑ̃p
Philippe Latombe;filipə latɔ̃b
Latombe;latɔ̃b
Jean-Louis Bricout;ʒəɑ̃lwi briku
François Jolivet;frɑ̃swa ʒɔlivɛt
Jolivet;ʒɔlivɛt
Rémi Féraud;remi fero
Féraud;fero
Hadrien Clouet;adriɑ̃ klwɛt
Clouet;klwət
Aurélien Pradié;oreliɑ̃ pradí
Pradié;pradí
Louis Boyard;lwi bwaar
Boyard;bwaar
Jean Terlier;ʒəɑ̃ tɛrlí
Terlier;tɛrlí
Sébastien Jumel;sebastjɑ̃ ʒymɛl
Jumel;ʒymɛl
Olivier Jacquin;ɔliví ʒakkɛ̃
Jacquin;ʒakkɛ̃
Geneviève Darrieussecq;ʒənɛvìvə darrjœsɛkk
Darrieussecq;darrjœsɛkk
Chrysoula Zacharopoulou;ʃrisula zaʃarɔpulu
Zacharopoulou;zaʃarɔpulu
Martine Filleul;martinə filœl
Filleul;filœl
Mireille Clapot;mirɛj klapɔ
Clapot;klapɔ
Véronique Guillotin;verɔnikə ɡyjɔtɛ̃
Guillotin;ɡyjɔtɛ̃
Emmanuel Maquet;ɑ̃manɥəl makɛt
Maquet;makɛt
Max Brisson;ma brisɔ̃
Brisson;brisɔ̃
Marie Guévenoux;mari ɡɥɛ́vɛnu
Guévenoux;ɡɥɛ́vɛnu
Jacques Fernique;ʒakk fɛrnik
Fernique;fɛrnik
Frédéric Cabrolier;frederik kabrɔlí
Cabrolier;kabrɔlí
Martine Froger;martinə frɔʒe
Froger;frɔʒe
Antoinette Guhl;ɑ̃twanɛtə ɡyl
Guhl;ɡyl
Timothée Houssin;timɔte usɛ̃
Houssin;usɛ̃
Laurent Alexandre;lor alɛxɑ̃dr
Alexandre;alɛxɑ̃dr
Laurence Boone;lorɑ̃sə bɔɔn
Boone;bɔɔn
Antoine Vermorel-Marques;ɑ̃twanə vɛrmɔrəlmark
Vermorel-Marques;vɛrmɔrəlmark
Claudine Thomas;klodinə tɔma
Thomas;tɔma
Céline Calvez;selinə kalve
Calvez;kalve
Anne-Laure Babault;ɑ̃nəlorə babol
Babault;babol
Marc Fesneau;mark fɛsno
Fesneau;fɛsno
Yannick Chenevard;iɑ̃nikk ʃənɛvar
Chenevard;ʃənɛvar
Bruno Belin;brynɔ bɛlɛ̃
Belin;bəlɛ̃
Pierre Cordier;piɛrrə kɔrdí
Cordier;kɔrdí
Patrick Chauvet;patrikk ʃovɛt
Chauvet;ʃovɛt
Marine Le Pen;marinə lə pɑ̃
Le Pen;lə pɑ̃
Sacha Houlié;saʃa ulí
Houlié;ulí
Sophie Errante;sɔfi ɛrrɑ̃t
Errante;ɛrrɑ̃t
Nathalie Oziol;natali ɔziɔl
Oziol;ɔziɔl
Jean-Yves Leconte;ʒəɑ̃ivə lɛkɔ̃t
Leconte;ləkɔ̃t
Élisabeth Doineau;elizabɛt dwano
Doineau;dwano
Sébastien Delogu;sebastjɑ̃ dɛlɔɡy
Delogu;dəlɔɡy
Annick Billon;ɑ̃nikk bilɔ̃
Billon;bilɔ̃
Daphné Ract-Madoux;dafne rakmadu
Ract-Madoux;rakmadu
Katiana Levavasseur;katjana lɛvavasœr
Levavasseur;ləvavasœr
Catherine Vautrin;katɛrinə votrɛ̃
Vautrin;votrɛ̃
André Gattolin;ɑ̃dre ɡatɔlɛ̃
Gattolin;ɡatɔlɛ̃
Véronique Besse;verɔnikə bɛs
Besse;bɛs
Émilie Chandler;emili ʃɑ̃dle
Chandler;ʃɑ̃dle
Cédric Perrin;sedrik pɛrrɛ̃
Perrin;pɛrrɛ̃
Alexis Jolly;alɛxi ʒɔli
Jolly;ʒɔli
Nadia Hai;nadia ɛ
Hai;ɛ
Robin Reda;rɔbɛ̃ rɛda
Reda;rəda
Sabrina Agresti-Roubache;sabrina aɡrɛstirubaʃ
Agresti-Roubache;aɡrɛstirubaʃ
Manuel Bompard;manɥɛl bɔ̃par
Bompard;bɔ̃par
Marie-Pierre Monier;maripiɛrrə mɔní
Monier;mɔní
Pierre Meurin;piɛrrə mœrɛ̃
Meurin;mœrɛ̃
Thani Mohamed Soilihi;tani mɔamɛ sɔjii
Mohamed Soilihi;mɔamɛ sɔjii
Marie-Christine Chauvin;mariʃristinə ʃovɛ̃
Chauvin;ʃovɛ̃
Delphine Batho;dɛlfinə batɔ
Batho;batɔ
Thomas Cazenave;tɔma kazɛnav
Cazenave;kazɛnav
Béatrice Gosselin;beatrizə ɡɔsɛlɛ̃
Gosselin;ɡɔsɛlɛ̃
Emmanuel Fernandes;ɑ̃manɥəl fɛrnɑ̃d
Fernandes;fɛrnɑ̃d
Manon Meunier;manɔ̃ mœní
Clémentine Autain;klemɑ̃tin otɛ̃
Autain;otɛ̃
Elsa Schalck;ɛlsa sʃalkk
Schalck;sʃalkk
Charles Rodwell;ʃarlə rɔdwɛl
Rodwell;rɔdwɛl
Isabelle Rome;izabɛlə rɔm
Bernard Delcros;bɛrnar dɛlkrɔ
Delcros;dɛlkrɔ
Lucien Stanzione;lyziɑ̃ stɑ̃ziɔn
Stanzione;stɑ̃ziɔn
Léo Walter;leɔ walte
Walter;walte
Jean Louis Masson;ʒəɑ̃ lwi masɔ̃
Fabien Lainé;fabiɑ̃ lɛne
Lainé;lɛne
Jean-Marc Zulesi;ʒəɑ̃mark zylɛzi
Zulesi;zylɛzi
Dominique Vérien;dɔminikə veriɑ̃
Vérien;veriɑ̃
Emmanuel Mandon;ɑ̃manɥɛl mɑ̃dɔ̃
Mandon;mɑ̃dɔ̃
Fabien Genet;fabiɑ̃ ʒənɛt
Genet;ʒənɛt
Hendrik Davi;ɑ̃drik davi
Davi;davi
Édouard Courtial;edwar kurtjal
Courtial;kurtjal
Maud Bregeon;mo brɛʒɔ̃
Bregeon;brəʒɔ̃
Philippe Dominati;filipə dɔminatj
Dominati;dɔminatj
Aude Luquet;odə lykɛt
Luquet;lykɛt
Pascale Bordes;paskalə bɔrd
Bordes;bɔrd
Paul Christophe;pol ʃristɔf
Christophe;ʃristɔf
Philippe Berta;filipə bɛrta
Berta;bɛrta
Jean-Pierre Decool;ʒəɑ̃piɛrrə dɛkɔɔl
Decool;dəkɔɔl
Ségolène Amiot;seɡɔlɛn amiɔ
Amiot;amiɔ
Frédéric Descrozaille;frederik dɛskrɔzɛj
Descrozaille;dɛskrɔzɛj
Michel Masset;miʃəl masɛt
Masset;masɛt
Sylviane Noël;silvianə nɔɛl
Noël;nɔɛl
Hélène Laporte;elɛnə lapɔrt
Laporte;lapɔrt
Hervé Maurey;ɛrve morɛ
Maurey;morɛ
Jean-Claude Requier;ʒəɑ̃klodə rɛkí
Requier;rəkí
Christine Herzog;ʃristin ɛrzɔ
Herzog;ɛrzɔ
Henri Cabanel;ɑ̃ri kabanɛl
Cabanel;kabanɛl
Astrid Panosyan-Bouvet;astri panɔsiɑ̃buvɛt
Panosyan-Bouvet;panɔsiɑ̃buvɛt
Alain Cadec;alɛ̃ kadɛk
Cadec;kadɛk
Blandine Brocard;blɑ̃dinə brɔkar
Brocard;brɔkar
Julien Rancoule;ʒyliɑ̃ rɑ̃kul
Rancoule;rɑ̃kul
Damien Michallet;damiɑ̃ miʃalɛt
Michallet;miʃalɛt
Patricia Schillinger;patrizia sʃilɛ̃ʒe
Schillinger;sʃilɛ̃ʒe
Charles Guené;ʃarlə ɡyɛne
Guené;ɡɥɛne
Cathy Apourceau-Poly;kati apurkopɔli
Apourceau-Poly;apurkopɔli
Caroline Yadan;karɔlin iadɑ̃
Yadan;yadɑ̃
Patricia Demas;patrizia dɛma
Demas;dəma
Jean-Louis Lagourgue;ʒəɑ̃lwi laɡurɡɥɛ
Lagourgue;laɡurɡɥɛ
Gilbert Roger;ʒilbɛr rɔʒe
Roger;rɔʒe
Catherine Di Folco;katɛrinə di fɔlkɔ
Di Folco;di fɔlkɔ
Laurent Croizier;lorə krwazí
Croizier;krwazí
Philippe Bonnecarrère;filipə bɔ̃nɛkarrɛr
Bonnecarrère;bɔ̃nɛkarrɛr
Aurélien Rousseau;oreliɑ̃ ruso
Rousseau;ruso
Valérie Rabault;valeri rabol
Rabault;rabol
Brigitte Lherbier;briʒitə lɛrbí
Lherbier;lɛrbí
Pierre-Jean Verzelen;piɛrrəʒəɑ̃ vɛrzɛlɑ̃
Verzelen;vɛrzɛlɑ̃
Mélanie Vogel;melani vɔʒɛl
Lionel Causse;liɔnɛl kos
Causse;kos
Jean-Jacques Gaultier;ʒəɑ̃ʒakk ɡoltje
Gaultier;ɡoltje
Laure Lavalette;lorə lavalɛt
Lavalette;lavalɛt
Mathilde Paris;matildə pari
Caroline Abadie;karɔlin abadi
Abadie;abadi
Louis Vogel;lwi vɔʒɛl
Patrick Hetzel;patrikk ɛtzɛl
Hetzel;ɛtzɛl
Mikaele Kulimoetoke;mikaələ kylimɔɛtɔk
Kulimoetoke;kylimɔɛtɔk
Marie-Charlotte Garin;mariʃarlɔtə ɡarɛ̃
Garin;ɡarɛ̃
Jean-Pierre Taite;ʒəɑ̃piɛrrə tɛt
Taite;tɛt
Bruno Bilde;brynɔ bild
Bilde;bild
Cécile Untermaier;sesil œ̃tɛrmɛ́
Untermaier;œ̃tɛrmɛ́
Yaël Menache;yaə̈l mɛnaʃ
Menache;mənaʃ
Anaïs Sabatini;anai sabatini
Sabatini;sabatini
Christian Bilhac;ʃristjɑ̃ bilak
Bilhac;bilak
Cédric Chevalier;sedrik ʃɛvalí
Chevalier;ʃəvalí
Daniel Laurent;daniɛl lor
Julien Odoul;ʒyliɑ̃ ɔdul
Odoul;ɔdul
Christophe Marion;ʃristɔfə mariɔ̃
Marion;mariɔ̃
Jean-Yves Roux;ʒəɑ̃iv ru
Roux;ru
Jean-Marc Todeschini;ʒəɑ̃mark tɔdɛsʃini
Todeschini;tɔdɛsʃini
Colombe Brossel;kɔlɔ̃bə brɔsɛl
Brossel;brɔsɛl
Alexandre Loubet;alɛxɑ̃drə lubɛt
Loubet;lubɛt
Bertrand Pancher;bɛrtrɑ̃d pɑ̃ʃe
Pancher;pɑ̃ʃe
André Reichardt;ɑ̃dre rɛʃard
Reichardt;rɛʃard
Antoine Lefèvre;ɑ̃twanə lɛfɛvr
Lefèvre;ləfɛvr
Éric Bocquet;erik bɔkkɛt
Bocquet;bɔkkɛt
Nadia Sollogoub;nadia sɔlɔɡub
Sollogoub;sɔlɔɡub
Mireille Jouve;mirɛj ʒuv
Jouve;ʒuv
Xavier Roseren;ksaví rɔzɛrɑ̃
Roseren;rɔzɛrɑ̃
François Piquemal;frɑ̃swa pikɛmal
Piquemal;pikɛmal
Philippe Pradal;filipə pradal
Pradal;pradal
Hervé Reynaud;ɛrve rɛno
Reynaud;rɛno
Laurence Maillart-Méhaignerie;lorɑ̃sə majarmeɛɲɛri
Maillart-Méhaignerie;majarmeɛɲɛri
Lana Tetuanui;lana tɛtɥanɥi
Tetuanui;tətɥanɥi
Jean-Luc Fugit;ʒəɑ̃lyk fyʒit
Fugit;fyʒit
Laurence Harribey;lorɑ̃sə arribɛ
Harribey;arribɛ
Monique de Marco;mɔnikə də markɔ
de Marco;də markɔ
Ghislaine Senée;ɡislɛnə sɛne
Senée;səne
Christian Cambon;ʃristjɑ̃ kɑ̃bɔ̃
Cambon;kɑ̃bɔ̃
Gérard Larcher;ʒerar larʃe
Larcher;larʃe
Roger Vicot;rɔʒe vikɔ
Vicot;vikɔ
Adrien Quatennens;adriɑ̃ katɑ̃nɑ̃
Quatennens;katɑ̃nɑ̃
Laurent Leclercq;lorə lɛklɛrkk
Leclercq;lɛklɛrkk
Evelyne Corbière Naminzo;əvɛlinə kɔrbìrə namɛ̃zɔ
Corbière Naminzo;kɔrbìrə namɛ̃zɔ
Denis Bouad;dəni bwa
Bouad;bwa
Clément Pernot;klemɛn pɛrnɔ
Pernot;pɛrnɔ
Stéphane Viry;stefanə viri
Viry;viri
Raphaël Gérard;rafaə̈l ʒerar
Gérard;ʒerar
Anne Genetet;ɑ̃nə ʒənətɛt
Genetet;ʒənətɛt
Erwan Balanant;ɛrwɑ̃ balanɑ̃t
Balanant;balanɑ̃t
Claude Raynal;klodə rɛnal
Raynal;rɛnal
Nicolas Dragon;nikɔla draɡɔ̃
Dragon;draɡɔ̃
Audrey Linkenheld;odrɛ lɛ̃kɛnɛld
Linkenheld;lɛ̃kɛnɛld
Yves Bouloux;yvə bulu
Juliette Vilgrain;ʒyliɛtə vilɡrɛ̃
Vilgrain;vilɡrɛ̃
Brigitte Klinkert;briʒitə klɛ̃kɛr
Klinkert;klɛ̃kɛr
Carlos Martens Bilongo;karlɔ martɑ̃ bilɔ̃ɡɔ
Bilongo;bilɔ̃ɡɔ
Christophe Barthès;ʃristɔfə bartɛ
Barthès;bartɛ
Martin Lévrier;martɛ̃ levrí
Lévrier;levrí
Sebastien Pla;səbastjɑ̃ pla
Pla;pla
Chantal Jourdan;ʃɑ̃tal ʒurdɑ̃
Jourdan;ʒurdɑ̃
Daniel Breuiller;daniɛl brœjr
Breuiller;brœjr
Jean-Claude Raux;ʒəɑ̃klodə ro
Raux;ro
Michelle Gréaume;miʃɛlə ɡreom
Gréaume;ɡreom
Patrick Chaize;patrikk ʃɛz
Chaize;ʃɛz
Rodrigo Arenas;rɔdriɡɔ arɛna
Arenas;arɛna
Benoît Bordat;bənwât bɔrda
Bordat;bɔrda
Guillaume Kasbarian;ɡyjomə kasbariɑ̃
Kasbarian;kasbariɑ̃
Hubert Wulfranc;ybɛr wylfrɑ̃
Wulfranc;wylfrɑ̃
Marie-Agnès Poussier-Winsback;mariaɲɛ pusíwɛ̃sbakk
Poussier-Winsback;pusíwɛ̃sbakk
Marietta Karamanli;mariɛta karamɑ̃li
Karamanli;karamɑ̃li
Laurence Cohen;lorɑ̃sə kɔɑ̃
Cohen;kɔɑ̃
Jean-Luc Bourgeaux;ʒəɑ̃lyk burʒo
Bourgeaux;burʒo
Fadila Khattabi;fadila katabi
Khattabi;katabi
Stéphane Le Rudulier;stefanə lə rydylí
Le Rudulier;lə rydylí
Franck Allisio;frɑ̃kk aliziɔ
Allisio;aliziɔ
Charlotte Parmentier-Lecocq;ʃarlɔtə parmɑ̃tjelɛkɔkk
Parmentier-Lecocq;parmɑ̃tjelɛkɔkk
Pierre Jean Rochette;piɛrrə ʒəɑ̃ rɔʃɛt
Rochette;rɔʃɛt
Lisa Belluco;liza bɛlykɔ
Belluco;bəlykɔ
Chantal Deseyne;ʃɑ̃tal dɛzɛn
Deseyne;dəzɛn
Frédéric Mathieu;frederik matjœ
Mathieu;matjœ
Mickaël Cosson;mikkaə̈l kɔsɔ̃
